"influenced","influenced_lab","influencer","influencer_lab"
"http://dbpedia.org/resource/Enrique_Dussel","Enrique Dussel","http://dbpedia.org/resource/Xavier_Zubiri","Xavier Zubiri"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Joseph_Joubert","Joseph Joubert"
"http://dbpedia.org/resource/Montesquieu","Montesquieu","http://dbpedia.org/resource/Polybius","Polybius"
"http://dbpedia.org/resource/Wilfrid_Sellars","Wilfrid Sellars","http://dbpedia.org/resource/Gilbert_Ryle","Gilbert Ryle"
"http://dbpedia.org/resource/Wilfrid_Sellars","Wilfrid Sellars","http://dbpedia.org/resource/Roy_Wood_Sellars","Roy Wood Sellars"
"http://dbpedia.org/resource/Will_Kymlicka","Will Kymlicka","http://dbpedia.org/resource/Ronald_Dworkin","Ronald Dworkin"
"http://dbpedia.org/resource/Wilfrid_Sellars","Wilfrid Sellars","http://dbpedia.org/resource/Rudolf_Carnap","Rudolf Carnap"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/Rudolf_Carnap","Rudolf Carnap"
"http://dbpedia.org/resource/Mostafa_Malekian","Mostafa Malekian","http://dbpedia.org/resource/Rumi","Rumi"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Rumi","Rumi"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Constantin_Noica","Constantin Noica"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","Muhammad Farooq Khan","http://dbpedia.org/resource/Amin_Ahsan_Islahi","Amin Ahsan Islahi"
"http://dbpedia.org/resource/Walter_Benjamin","Walter Benjamin","http://dbpedia.org/resource/Bertolt_Brecht","Bertolt Brecht"
"http://dbpedia.org/resource/A._J._Ayer","A. J. Ayer","http://dbpedia.org/resource/Bertrand_Russell","Bertrand Russell"
"http://dbpedia.org/resource/Moritz_Schlick","Moritz Schlick","http://dbpedia.org/resource/Bertrand_Russell","Bertrand Russell"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/Bertrand_Russell","Bertrand Russell"
"http://dbpedia.org/resource/Walter_Benjamin","Walter Benjamin","http://dbpedia.org/resource/Charles_Baudelaire","Charles Baudelaire"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Charles_Darwin","Charles Darwin"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Charles_Darwin","Charles Darwin"
